disease_name,category,risk_level,title,description,image_url
Thyroid,diet,low,Whole Eggs,Contains iodine and selenium in the yolk.,/images/bezawada/istockphoto-1307904011-612x612.jpg
Thyroid,diet,moderate,Seaweed,Rich source of iodine (consume in moderation).,/images/bezawada/diet-plan-for-thyroid.webp
Thyroid,diet,moderate,Dairy Products,Good source of iodine and Vitamin D.,/images/bezawada/diet-plan-for-thyroid.webp
Thyroid,diet,moderate,Beans,Rich in fiber and protein to manage energy levels.,/images/bezawada/diet-plan-for-thyroid.webp
Thyroid,diet,high,Gluten-Free Diet,May help if suspected autoimmune thyroid issues.,/images/bezawada/7adbb67cb3e94365c0bafd31ae0d0c44.jpg
Thyroid,diet,high,Cruciferous Veggies (Cooked),Cooked kale and broccoli to reduce goitrogen impact.,/images/bezawada/7adbb67cb3e94365c0bafd31ae0d0c44.jpg
Thyroid,diet,high,Probiotics,Yogurt or kefir for gut health and immunity.,/images/bezawada/7adbb67cb3e94365c0bafd31ae0d0c44.jpg
Thyroid,ayurveda,low,Ashwagandha,Supports thyroid function and reduces stress.,
Thyroid,ayurveda,low,Guggulu,Known to stimulate thyroid secretions.,
Thyroid,ayurveda,low,Ginger Tea,Improves circulation and metabolism.,
Thyroid,ayurveda,moderate,Kanchanar Guggulu,Specifically for thyroid-related imbalances.,
Thyroid,ayurveda,moderate,Triphala,To ensure smooth digestion and detox.,
Thyroid,ayurveda,moderate,Licorice Tea,To help balance hormone levels.,
Thyroid,ayurveda,high,Bacopa Monnieri,Brahmi may support T4 levels.,
Thyroid,ayurveda,high,Black Cumin,Known for its anti-inflammatory properties for the thyroid.,
Thyroid,ayurveda,high,Punarnava,Helps manage water retention often seen in thyroid issues.,
Endometriosis,yoga,low,Balasana,Child's pose for pelvic floor relaxation.,/images/bezawada/Top.jpg
Endometriosis,yoga,low,Supta Baddha Konasana,Reclining bound angle for relieving cramp pain.,/images/bezawada/Top.jpg
Endometriosis,yoga,low,Viparita Karani,Legs up the wall for improved circulation and rest.,/images/bezawada/Top.jpg
Endometriosis,yoga,moderate,Setu Bandhasana,Bridge pose for pelvic strengthening.,/images/bezawada/Top.jpg
Endometriosis,yoga,moderate,Cat-Cow,Gentle mobility for the spine and pelvic region.,/images/bezawada/b848269cfb7fb5dbd3e40580172d41e2.jpg
Endometriosis,yoga,moderate,Happy Baby Pose,Opening the hips and soothing the lower back.,/images/bezawada/Top.jpg
Endometriosis,yoga,high,Supta Matsyendrasana,Supine Spinal Twist for abdominal massage and pain relief.,/images/bezawada/b848269cfb7fb5dbd3e40580172d41e2.jpg
Endometriosis,yoga,high,Malasana,Deep squat for pelvic opening (avoid during acute pain).,/images/bezawada/b848269cfb7fb5dbd3e40580172d41e2.jpg
Endometriosis,yoga,high,Pigeon Pose,Intense hip opener to release tension.,/images/bezawada/b848269cfb7fb5dbd3e40580172d41e2.jpg
Endometriosis,exercise,low,Walking,Gentle movement to maintain blood flow.,/images/bezawada/th.jpeg
Endometriosis,exercise,low,Swimming,Floating and gentle swimming to reduce pressure.,/images/bezawada/th.jpeg
Endometriosis,exercise,low,Static Stretching,Focus on the pelvic area and hip flexors.,/images/bezawada/cardio-light-workout.jpg
Endometriosis,exercise,moderate,Pilates,Core stability to support the pelvic organs.,/images/bezawada/cardio-light-workout.jpg
Endometriosis,exercise,moderate,Yoga,A dedicated restorative yoga practice.,/images/bezawada/Top.jpg
Endometriosis,exercise,moderate,Light Resistance,Using bands for strength without high impact.,/images/bezawada/cardio-light-workout.jpg
Endometriosis,exercise,high,Power Yoga,More active flow for building endurance.,/images/bezawada/Top.jpg
Endometriosis,exercise,high,Elliptical,Lower impact than running but high cardio intensity.,/images/bezawada/Screenshot 2026-02-15 131826.png
Endometriosis,exercise,high,Cycling,Steady intensity to build stamina.,/images/bezawada/cardio-light-workout.jpg
Endometriosis,diet,low,Anti-inflammatory Diet,Focus on fruits, vegetables, and whole grains.,
Endometriosis,diet,low,Fiber Intake,To help excrete excess estrogen.,
Endometriosis,diet,low,Omega-3 Fats,Found in salmon, flaxseeds, and walnuts.,
Endometriosis,diet,moderate,Calcium-Rich Foods,Dairy or fortified plant milks for bone health.,
Endometriosis,diet,moderate,Vitamin B Group,Whole grains and legumes for energy.,
Endometriosis,diet,moderate,Iron-Rich Foods,Spinach and lean meat to counter heavy blood loss.,
Endometriosis,diet,high,Gluten-Free Trial,May reduce pain symptoms in some patients.,
Endometriosis,diet,high,No Red Meat,Reducing red meat may lower inflammation.,
Endometriosis,diet,high,Low Caffeine,To help reduce pelvic pain and inflammation.,
Endometriosis,ayurveda,low,Shatavari,Supports legalizing hormone levels and pelvic health.,
Endometriosis,ayurveda,low,Turmeric,Potent anti-inflammatory properties.,
Endometriosis,ayurveda,low,Ginger,Helps in reducing period-related nausea and pain.,
Endometriosis,ayurveda,moderate,Lodhra,Traditionally used for managing heavy bleeding.,
Endometriosis,ayurveda,moderate,Ashoka,Known as a uterine tonic in Ayurveda.,
Endometriosis,ayurveda,moderate,Aloe Vera Juice,To help with digestion and inflammation.,
Endometriosis,ayurveda,high,Dashamula Tea,A combination of ten roots to reduce Vata and pain.,
Endometriosis,ayurveda,high,Triphala Guggulu,For detoxification and reducing growths.,
Endometriosis,ayurveda,high,Guduchi,To build immunity and reduce inflammation.,
